endings,tense,subjects,variant,base_tense,base_subject,truncate_str,pre_affix_stress,affix,subject_len
ar,infinitivo,impersonal,,infinitivo,impersonal,_r,,ar,
er,infinitivo,impersonal,,infinitivo,impersonal,_r,,er,
ir,infinitivo,impersonal,,infinitivo,impersonal,_r,,ir,
ír,infinitivo,impersonal,,infinitivo,impersonal,_r,,ír,
ar,gerundio,impersonal,,infinitivo,impersonal,_r,,ando,
er;ir;ír,gerundio,impersonal,,infinitivo,impersonal,_r,,iendo,
ar,participio,impersonal,,infinitivo,impersonal,_r,,ado,
er;ir,participio,impersonal,,infinitivo,impersonal,_r,,ido,
ír,participio,impersonal,,infinitivo,impersonal,_r,,ído,
ar;er;ir;ír,presente,yo,,infinitivo,impersonal,_r,,o,
ar,presente,tú,,infinitivo,impersonal,_r,,as,
ar,presente,vos,,infinitivo,impersonal,_r,,ás,
ar,presente,"él, ella;usted;impersonal",,infinitivo,impersonal,_r,,a,
ar,presente,"nosotros, nosotras",,infinitivo,impersonal,_r,,amos,
ar,presente,"vosotros, vosotras",,infinitivo,impersonal,_r,,áis,
ar,presente,"ellos, ellas;ustedes",,infinitivo,impersonal,_r,,an,
er;ir;ír,presente,tú,,infinitivo,impersonal,_r,,es,
er,presente,vos,,infinitivo,impersonal,_r,,és,
ir;ír,presente,vos,,infinitivo,impersonal,_r,,ís,
er;ir;ír,presente,"él, ella;usted;impersonal",,infinitivo,impersonal,_r,,e,
er,presente,"nosotros, nosotras",,infinitivo,impersonal,_r,,emos,
ir,presente,"nosotros, nosotras",,infinitivo,impersonal,_r,,imos,
ír,presente,"nosotros, nosotras",,infinitivo,impersonal,_r,,ímos,
er,presente,"vosotros, vosotras",,infinitivo,impersonal,_r,,éis,
ir;ír,presente,"vosotros, vosotras",,infinitivo,impersonal,_r,,ís,
er;ir;ír,presente,"ellos, ellas;ustedes",,infinitivo,impersonal,_r,,en,
ar,imperfecto,"yo;él, ella;usted",,infinitivo,impersonal,_r,,aba,1
ar,imperfecto,tú;vos,,infinitivo,impersonal,_r,,abas,2
ar,imperfecto,"nosotros, nosotras",,infinitivo,impersonal,_r,,ábamos,4
ar,imperfecto,"vosotros, vosotras",,infinitivo,impersonal,_r,,abais,3
ar,imperfecto,"ellos, ellas;ustedes",,infinitivo,impersonal,_r,,aban,2
er;ir;ír,imperfecto,"yo;él, ella;usted",,infinitivo,impersonal,_r,,ía,1
er;ir;ír,imperfecto,tú;vos,,infinitivo,impersonal,_r,,ías,2
er;ir;ír,imperfecto,"nosotros, nosotras",,infinitivo,impersonal,_r,,íamos,4
er;ir;ír,imperfecto,"vosotros, vosotras",,infinitivo,impersonal,_r,,íais,3
er;ir;ír,imperfecto,"ellos, ellas;ustedes",,infinitivo,impersonal,_r,,ían,2
ar,pretérito,yo,,infinitivo,impersonal,_r,,é,
ar,pretérito,tú;vos,,infinitivo,impersonal,_r,,aste,
ar,pretérito,"él, ella;usted",,infinitivo,impersonal,_r,,ó,
ar,pretérito,"nosotros, nosotras",,infinitivo,impersonal,_r,,amos,
ar,pretérito,"vosotros, vosotras",,infinitivo,impersonal,_r,,asteis,
ar,pretérito,"ellos, ellas;ustedes",,infinitivo,impersonal,_r,,aron,
er;ir;ír,pretérito,yo,,infinitivo,impersonal,_r,,í,
er;ir,pretérito,tú;vos,,infinitivo,impersonal,_r,,iste,
ír,pretérito,tú;vos,,infinitivo,impersonal,_r,,íste,
er;ir;ír,pretérito,"él, ella;usted",,infinitivo,impersonal,_r,,ió,
er;ir,pretérito,"nosotros, nosotras",,infinitivo,impersonal,_r,,imos,
ír,pretérito,"nosotros, nosotras",,infinitivo,impersonal,_r,,ímos,
er;ir,pretérito,"vosotros, vosotras",,infinitivo,impersonal,_r,,isteis,
ír,pretérito,"vosotros, vosotras",,infinitivo,impersonal,_r,,ísteis,
er;ir;ír,pretérito,"ellos, ellas;ustedes",,infinitivo,impersonal,_r,,ieron,
ar;er;ir;ír,futuro,yo,,infinitivo,impersonal,,,é,
ar;er;ir;ír,futuro,tú;vos,,infinitivo,impersonal,,,ás,
ar;er;ir;ír,futuro,"él, ella;usted",,infinitivo,impersonal,,,á,
ar;er;ir;ír,futuro,"nosotros, nosotras",,infinitivo,impersonal,,,emos,
ar;er;ir;ír,futuro,"vosotros, vosotras",,infinitivo,impersonal,,,éis,
ar;er;ir;ír,futuro,"ellos, ellas;ustedes",,infinitivo,impersonal,,,án,
ar;er;ir;ír,condicional,"yo;él, ella;usted",,infinitivo,impersonal,,,ía,1
ar;er;ir;ír,condicional,tú;vos,,infinitivo,impersonal,,,ías,2
ar;er;ir;ír,condicional,"nosotros, nosotras",,infinitivo,impersonal,,,íamos,4
ar;er;ir;ír,condicional,"vosotros, vosotras",,infinitivo,impersonal,,,íais,3
ar;er;ir;ír,condicional,"ellos, ellas;ustedes",,infinitivo,impersonal,,,ían,2
ar,subjuntivo presente,"yo;él, ella;usted",,presente,yo,o,,e,
ar,subjuntivo presente,tú;vos,,presente,yo,o,,es,
ar,subjuntivo presente,"nosotros, nosotras",,presente,yo,o,,emos,
ar,subjuntivo presente,"vosotros, vosotras",,presente,yo,o,,éis,
ar,subjuntivo presente,"ellos, ellas;ustedes",,presente,yo,o,,en,
er;ir;ír,subjuntivo presente,"yo;él, ella;usted",,presente,yo,o,,a,
er;ir;ír,subjuntivo presente,tú;vos,,presente,yo,o,,as,
er;ir;ír,subjuntivo presente,"nosotros, nosotras",,presente,yo,o,,amos,
er;ir;ír,subjuntivo presente,"vosotros, vosotras",,presente,yo,o,,áis,
er;ir;ír,subjuntivo presente,"ellos, ellas;ustedes",,presente,yo,o,,an,
ar;er;ir;ír,subjuntivo pretérito,"yo;él, ella;usted",variante ‘ra’,pretérito,"ellos, ellas",ron,,ra,1
ar;er;ir;ír,subjuntivo pretérito,tú;vos,variante ‘ra’,pretérito,"ellos, ellas",ron,,ras,2
ar;er;ir;ír,subjuntivo pretérito,"nosotros, nosotras",variante ‘ra’,pretérito,"ellos, ellas",ron,1,ramos,4
ar;er;ir;ír,subjuntivo pretérito,"vosotros, vosotras",variante ‘ra’,pretérito,"ellos, ellas",ron,,rais,3
ar;er;ir;ír,subjuntivo pretérito,"ellos, ellas;ustedes",variante ‘ra’,pretérito,"ellos, ellas",ron,,ran,2
ar;er;ir;ír,subjuntivo pretérito,"yo;él, ella;usted",variante ‘se’,pretérito,"ellos, ellas",ron,,se,1
ar;er;ir;ír,subjuntivo pretérito,tú;vos,variante ‘se’,pretérito,"ellos, ellas",ron,,ses,2
ar;er;ir;ír,subjuntivo pretérito,"nosotros, nosotras",variante ‘se’,pretérito,"ellos, ellas",ron,1,semos,4
ar;er;ir;ír,subjuntivo pretérito,"vosotros, vosotras",variante ‘se’,pretérito,"ellos, ellas",ron,,seis,3
ar;er;ir;ír,subjuntivo pretérito,"ellos, ellas;ustedes",variante ‘se’,pretérito,"ellos, ellas",ron,,sen,2
ar;er;ir;ír,subjuntivo futuro,"yo;él, ella;usted",,pretérito,"ellos, ellas",ron,,re,1
ar;er;ir;ír,subjuntivo futuro,tú;vos,,pretérito,"ellos, ellas",ron,,res,2
ar;er;ir;ír,subjuntivo futuro,"nosotros, nosotras",,pretérito,"ellos, ellas",ron,1,remos,4
ar;er;ir;ír,subjuntivo futuro,"vosotros, vosotras",,pretérito,"ellos, ellas",ron,,reis,3
ar;er;ir;ír,subjuntivo futuro,"ellos, ellas;ustedes",,pretérito,"ellos, ellas",ron,,ren,2
ar;er;ir;ír,imperativo,tú,,presente,tú,s,,,
ar;er;ir;ír,imperativo,vos,,presente,vos,s,,,
ar;er;ir;ír,imperativo,usted,,subjuntivo presente,usted,,,,
ar;er;ir;ír,imperativo,"nosotros, nosotras",,subjuntivo presente,"nosotros, nosotras",,,,
ar,imperativo,"vosotros, vosotras",,infinitivo,impersonal,_r,,ad,
er,imperativo,"vosotros, vosotras",,infinitivo,impersonal,_r,,ed,
ir,imperativo,"vosotros, vosotras",,infinitivo,impersonal,_r,,id,
ír,imperativo,"vosotros, vosotras",,infinitivo,impersonal,_r,,íd,
ar;er;ir;ír,imperativo,ustedes,,subjuntivo presente,ustedes,,,,
