endings,tense,subjects,variant,from_tense,from_subject,truncate_str,pre_affix_stress,affix,subject_len
ar,infinitivo,,,,,_r,,ar,
er,infinitivo,,,,,_r,,er,
ir,infinitivo,,,,,_r,,ir,
ír,infinitivo,,,,,_r,,ír,
ar,gerundio,,,,,_r,,ando,
er;ir;ír,gerundio,,,,,_r,,iendo,
ar,participio,,,,,_r,,ado,
er;ir,participio,,,,,_r,,ido,
ír,participio,,,,,_r,,ído,
ar;er;ir;ír,presente,yo,,,,_r,,o,
ar,presente,tú,,,,_r,,as,
ar,presente,vos,,,,_r,,ás,
ar,presente,"él, ella;usted;impersonal",,,,_r,,a,
ar,presente,"nosotros, nosotras",,,,_r,,amos,
ar,presente,"vosotros, vosotras",,,,_r,,áis,
ar,presente,"ellos, ellas;ustedes",,,,_r,,an,
er;ir;ír,presente,tú,,,,_r,,es,
er,presente,vos,,,,_r,,és,
ir;ír,presente,vos,,,,_r,,ís,
er;ir;ír,presente,"él, ella;usted;impersonal",,,,_r,,e,
er,presente,"nosotros, nosotras",,,,_r,,emos,
ir,presente,"nosotros, nosotras",,,,_r,,imos,
ír,presente,"nosotros, nosotras",,,,_r,,ímos,
er,presente,"vosotros, vosotras",,,,_r,,éis,
ir;ír,presente,"vosotros, vosotras",,,,_r,,ís,
er;ir;ír,presente,"ellos, ellas;ustedes",,,,_r,,en,
ar,imperfecto,"yo;él, ella;usted",,,,_r,,aba,1
ar,imperfecto,tú;vos,,,,_r,,abas,2
ar,imperfecto,"nosotros, nosotras",,,,_r,,ábamos,4
ar,imperfecto,"vosotros, vosotras",,,,_r,,abais,3
ar,imperfecto,"ellos, ellas;ustedes",,,,_r,,aban,2
er;ir;ír,imperfecto,"yo;él, ella;usted",,,,_r,,ía,1
er;ir;ír,imperfecto,tú;vos,,,,_r,,ías,2
er;ir;ír,imperfecto,"nosotros, nosotras",,,,_r,,íamos,4
er;ir;ír,imperfecto,"vosotros, vosotras",,,,_r,,íais,3
