"lemma","part_of_speech","dle_lemma","dle_url","is_model_verb","model_verbs"
"el","artículo","el","https://dle.rae.es/el#ESraxkH","",""
"de","preposición","de","https://dle.rae.es/de#BtFYznp","",""
"en","preposición","en","https://dle.rae.es/en#EuPaWdO","",""
"y","conjunción","y","https://dle.rae.es/y#c8HrfrV","",""
"a","preposición","a","https://dle.rae.es/a#003Ov93","",""
"un","artículo","un","https://dle.rae.es/uno#b6iKApr","",""
"que","relativo","que","https://dle.rae.es/que#UkbUarn","",""
"ser","verbo","ser","https://dle.rae.es/ser#Xe5Brrm","1",""
"se","pronombre personal","se","https://dle.rae.es/se#XNTSeAe","",""
"que","conjunción","que","https://dle.rae.es/que#UkbUarn","",""
"con","preposición","con","https://dle.rae.es/con#A5cH5M4","",""
"por","preposición","por","https://dle.rae.es/por#TgJ7yhD","",""
"suyo","posesivo","suyo","https://dle.rae.es/suyo#YqlzSAz","",""
"para","preposición","para","https://dle.rae.es/para#Rp1CuT2","",""
"no","adverbio","no","https://dle.rae.es/no#QXiSBq2","",""
"este","demonstrativo","este","https://dle.rae.es/este#GoDU5PI","",""
"como","conjunción","como","https://dle.rae.es/como#9xWxEd9","",""
"tener","verbo","tener","https://dle.rae.es/tener#ZT8sFSB","1",""
"estar","verbo","estar","https://dle.rae.es/estar#GnJiqdL","1",""
"más","adverbio","más","https://dle.rae.es/m%C3%A1s#OWErHxJ","",""
"poder","verbo","poder","https://dle.rae.es/poder#TU1KCfY","1",""
"hacer","verbo","hacer","https://dle.rae.es/hacer#Jwhmcap","1",""
"lo","pronombre personal","lo","https://dle.rae.es/lo#NWnohQu","",""
"todo","cuantificador","todo","https://dle.rae.es/todo#ZxVCoJq","",""
"año","sustantivo","año","https://dle.rae.es/a%C3%B1o#31Ws94D","",""
"o","conjunción","o","https://dle.rae.es/o#c8HrfrV","",""
"ese","demonstrativo","ese","https://dle.rae.es/ese#GOeWVLy","",""
"otro","cuantificador","otro","https://dle.rae.es/otro#RLQQxGn","",""
"pero","conjunción","pero","https://dle.rae.es/pero#Sh0TNnC","",""
"le","pronombre personal","le","https://dle.rae.es/le#N288QJ7","",""
"haber","verbo","haber","https://dle.rae.es/haber#Jv4Frsm","1",""
"entre","preposición","entre","https://dle.rae.es/entre#FkNx2AZ","",""
"también","adverbio","también","https://dle.rae.es/tambi%C3%A9n#Z2fyAuY","",""
"él","pronombre personal","él","https://dle.rae.es/%C3%A9l#ESsilCu","",""
"sobre","preposición","sobre","https://dle.rae.es/sobre#Y5lVqnD","",""
"decir","verbo","decir","https://dle.rae.es/decir#BxLriBU","1",""
"primero","numeral","primero","https://dle.rae.es/primero#UAztjAx","",""
"desde","preposición","desde","https://dle.rae.es/desde#Cmy8XSZ","",""
"uno","numeral","uno","https://dle.rae.es/uno#b6hEWeB","",""
"si","conjunción","si","https://dle.rae.es/si#XmM8PPL","",""
"dos","numeral","dos","https://dle.rae.es/dos#EA0Jc84","",""
"cuando","adverbio","cuando","https://dle.rae.es/cuando#BRprn7t","",""
"dar","verbo","dar","https://dle.rae.es/dar#BrtRK35","1",""
"nuevo","adjetivo","nuevo","https://dle.rae.es/nuevo#QhsYsNr","",""
"ir","verbo","ir","https://dle.rae.es/ir#M5ucdgy","1",""
"país","sustantivo","país","https://dle.rae.es/pa%C3%ADs#RT371RT","",""
"me","pronombre personal","me","https://dle.rae.es/me#OhaNBJs","",""
"muy","adverbio","muy","https://dle.rae.es/muy#QAgVTQ3","",""
"alguno","cuantificador","alguno","https://dle.rae.es/alguno#1oOa9Jk","",""
"parte","sustantivo","parte","https://dle.rae.es/parte#RzfwkpZ","",""
"porque","conjunción","porque","https://dle.rae.es/porque#ThtjSks","",""
"deber","verbo","deber","https://dle.rae.es/deber#Bu2rLyz","0",""
"mismo","cuantificador","mismo","https://dle.rae.es/mismo#POzAgFS","",""
"grande","adjetivo","grande","https://dle.rae.es/grande#JSEI1iN","",""
"sin","preposición","sin","https://dle.rae.es/sin#XwHtfb4","",""
"día","sustantivo","día","https://dle.rae.es/d%C3%ADa#DcsVyE1","",""
"nos","pronombre personal","nos","https://dle.rae.es/nos#QdQLrAb","",""
"mucho","cuantificador","mucho","https://dle.rae.es/mucho#PytaXRE","",""
"ya","adverbio","ya","https://dle.rae.es/ya#c8KthXc","",""
"ver","verbo","ver","https://dle.rae.es/ver#baOo6Gz","1",""
"hasta","preposición","hasta","https://dle.rae.es/hasta#K2iXUid","",""
"donde","adverbio","donde","https://dle.rae.es/donde#E8FfJ0i","",""
"vez","sustantivo","vez","https://dle.rae.es/vez#biPx6YF","",""
"persona","sustantivo","persona","https://dle.rae.es/persona#SjUIL8Z","",""
"quien","relativo","quien","https://dle.rae.es/quien#UpfJQop","",""
"nuestro","posesivo","nuestro","https://dle.rae.es/nuestro#Qhpp2r0","",""
"llegar","verbo","llegar","https://dle.rae.es/llegar#NV155vl","0",""
"tiempo","sustantivo","tiempo","https://dle.rae.es/tiempo#Zir6Ipf","",""
"último","adjetivo","último","https://dle.rae.es/%C3%BAltimo#b2MGGOS","",""
"pasar","verbo","pasar","https://dle.rae.es/pasar#S33P1kX","0",""
"gobierno","sustantivo","gobierno","https://dle.rae.es/gobierno#JHWWluC","",""
"durante","preposición","durante","https://dle.rae.es/durante#EHqoAYN","",""
"cada","cuantificador","cada","https://dle.rae.es/cada#6a9NObu","",""
"vida","sustantivo","vida","https://dle.rae.es/vida#blw7uSa","",""
"tres","numeral","tres","https://dle.rae.es/tres#aaxfyML","",""
"millón","sustantivo","millón","https://dle.rae.es/mill%C3%B3n#PG9g0pj","",""
"nacional","adjetivo","nacional","https://dle.rae.es/nacional#QBmYj6h","",""
"mayor","adjetivo","mayor","https://dle.rae.es/mayor#OfcJXRh","",""
"mundo","sustantivo","mundo","https://dle.rae.es/mundo#Q5etWXp","",""
"querer","verbo","querer","https://dle.rae.es/querer#UnvXEIb","1",""
"trabajo","sustantivo","trabajo","https://dle.rae.es/trabajo#aBuhX28","",""
"presidente","sustantivo","presidente","https://dle.rae.es/presidente#U6Yu3bh","",""
"seguir","verbo","seguir","https://dle.rae.es/seguir#XT8l8aE","0","pedir"
"encontrar","verbo","encontrar","https://dle.rae.es/encontrar#F91pW7R","0","contar"
"según","preposición","según","https://dle.rae.es/seg%C3%BAn#XTC2Xzt","",""
"llevar","verbo","llevar","https://dle.rae.es/llevar#NVdZd3s","0",""
"mío","posesivo","mío","https://dle.rae.es/m%C3%ADo#PLHnXR2","",""
"forma","sustantivo","forma","https://dle.rae.es/forma#IEvo12v","",""
"después","adverbio","después","https://dle.rae.es/despu%C3%A9s#DQBHjWr","",""
"grupo","sustantivo","grupo","https://dle.rae.es/grupo#JaoUQPQ","",""
"equipo","sustantivo","equipo","https://dle.rae.es/equipo#G09HIAP","",""
"bueno","adjetivo","bueno","https://dle.rae.es/bueno#6EawoZ6","",""
"qué","interrogativo","qué","https://dle.rae.es/qu%C3%A9#UkdF1CE","",""
"realizar","verbo","realizar","https://dle.rae.es/realizar#VHUV2Pi","0",""
"saber","verbo","saber","https://dle.rae.es/saber#WsvRvUO","1",""
"momento","sustantivo","momento","https://dle.rae.es/momento#Pbn1zcv","",""
"aunque","conjunción","aunque","https://dle.rae.es/aunque#4OhVnbA","",""
"hoy","adverbio","hoy","https://dle.rae.es/hoy#KiRLAuG","",""
"ahora","adverbio","ahora","https://dle.rae.es/ahora#1IKnuuy","",""
"partido","sustantivo","partido","https://dle.rae.es/partido#S0p77Fb","",""
"dejar","verbo","dejar","https://dle.rae.es/dejar#C5aUM2o","0",""
"ante","preposición","ante","https://dle.rae.es/ante#2lpQu7Z","",""
"mejor","adjetivo","mejor","https://dle.rae.es/mejor#OnhZjCP","",""
"caso","sustantivo","caso","https://dle.rae.es/caso#7pG16he","",""
"estado","sustantivo","estado","https://dle.rae.es/estado#GjqhajH","",""
"lugar","sustantivo","lugar","https://dle.rae.es/lugar#NgMEY5T","",""
"presentar","verbo","presentar","https://dle.rae.es/presentar#U67k94e","0",""
"social","adjetivo","social","https://dle.rae.es/social#YBny63i","",""
"así","adverbio","así","https://dle.rae.es/as%C3%AD#3zT41MT","",""
"punto","sustantivo","punto","https://dle.rae.es/punto#UgMIq14","",""
"mujer","sustantivo","mujer","https://dle.rae.es/mujer#Q1vMnRp","",""
