"lemma","tense","subject","variant","form","preference"
"ser","infinitivo","impersonal","","ser","0"
"ser","gerundio","impersonal","","siendo","0"
"ser","participio","impersonal","","sido","0"
"ser","presente","yo","","soy","0"
"ser","presente","tú","","eres","0"
"ser","presente","vos","","sos","0"
"ser","presente","él, ella","","es","0"
"ser","presente","nosotros, nosotras","","somos","0"
"ser","presente","vosotros, vosotras","","sois","0"
"ser","presente","ellos, ellas","","son","0"
"ser","imperfecto","tú","","eras","0"
"ser","imperfecto","él, ella","","era","0"
"ser","imperfecto","nosotros, nosotras","","éramos","0"
"ser","imperfecto","vosotros, vosotras","","erais","0"
"ser","imperfecto","ellos, ellas","","eran","0"
"ser","pretérito","yo","","fui","0"
"ser","pretérito","tú","","fuiste","0"
"ser","pretérito","él, ella","","fue","0"
"ser","pretérito","nosotros, nosotras","","fuimos","0"
"ser","pretérito","vosotros, vosotras","","fuisteis","0"
"ser","pretérito","ellos, ellas","","fueron","0"
"ser","futuro","yo","","seré","0"
"ser","futuro","tú","","serás","0"
"ser","futuro","él, ella","","será","0"
"ser","futuro","nosotros, nosotras","","seremos","0"
"ser","futuro","vosotros, vosotras","","seréis","0"
"ser","futuro","ellos, ellas","","serán","0"
"ser","condicional","tú","","serías","0"
"ser","condicional","él, ella","","sería","0"
"ser","condicional","nosotros, nosotras","","seríamos","0"
"ser","condicional","vosotros, vosotras","","seríais","0"
"ser","condicional","ellos, ellas","","serían","0"
"ser","subjuntivo presente","tú","","seas","0"
"ser","subjuntivo presente","él, ella","","sea","0"
"ser","subjuntivo presente","nosotros, nosotras","","seamos","0"
"ser","subjuntivo presente","vosotros, vosotras","","seáis","0"
"ser","subjuntivo presente","ellos, ellas","","sean","0"
"ser","subjuntivo pretérito","tú","variante ‘ra’","fueras","0"
"ser","subjuntivo pretérito","tú","variante ‘se’","fueses","0"
"ser","subjuntivo pretérito","él, ella","variante ‘ra’","fuera","0"
"ser","subjuntivo pretérito","él, ella","variante ‘se’","fuese","0"
"ser","subjuntivo pretérito","nosotros, nosotras","variante ‘ra’","fuéramos","0"
"ser","subjuntivo pretérito","nosotros, nosotras","variante ‘se’","fuésemos","0"
"ser","subjuntivo pretérito","vosotros, vosotras","variante ‘ra’","fuerais","0"
"ser","subjuntivo pretérito","vosotros, vosotras","variante ‘se’","fueseis","0"
"ser","subjuntivo pretérito","ellos, ellas","variante ‘ra’","fueran","0"
"ser","subjuntivo pretérito","ellos, ellas","variante ‘se’","fuesen","0"
"ser","subjuntivo futuro","tú","","fueres","0"
"ser","subjuntivo futuro","él, ella","","fuere","0"
"ser","subjuntivo futuro","nosotros, nosotras","","fuéremos","0"
"ser","subjuntivo futuro","vosotros, vosotras","","fuereis","0"
"ser","subjuntivo futuro","ellos, ellas","","fueren","0"
"ser","imperativo","tú","","sé","0"
"ser","imperativo","vos","","sé","0"
"ser","imperativo","usted","","sea","0"
"ser","imperativo","vosotros, vosotras","","sed","0"
"ser","imperativo","ustedes","","sean","0"
"tener","infinitivo","impersonal","","tener","0"
"tener","gerundio","impersonal","","teniendo","0"
"tener","participio","impersonal","","tenido","0"
"tener","presente","yo","","tengo","0"
"tener","presente","tú","","tienes","0"
"tener","presente","vos","","tenés","0"
"tener","presente","él, ella","","tiene","0"
"tener","presente","nosotros, nosotras","","tenemos","0"
"tener","presente","vosotros, vosotras","","tenéis","0"
"tener","presente","ellos, ellas","","tienen","0"
"tener","imperfecto","tú","","tenías","0"
"tener","imperfecto","él, ella","","tenía","0"
"tener","imperfecto","nosotros, nosotras","","teníamos","0"
"tener","imperfecto","vosotros, vosotras","","teníais","0"
"tener","imperfecto","ellos, ellas","","tenían","0"
"tener","pretérito","yo","","tuve","0"
"tener","pretérito","tú","","tuviste","0"
"tener","pretérito","él, ella","","tuvo","0"
"tener","pretérito","nosotros, nosotras","","tuvimos","0"
"tener","pretérito","vosotros, vosotras","","tuvisteis","0"
"tener","pretérito","ellos, ellas","","tuvieron","0"
"tener","futuro","yo","","tendré","0"
"tener","futuro","tú","","tendrás","0"
"tener","futuro","él, ella","","tendrá","0"
"tener","futuro","nosotros, nosotras","","tendremos","0"
"tener","futuro","vosotros, vosotras","","tendréis","0"
